Task ID,Type,ID,Medium,Constraints,Expected value,Description
1,Metabolite,MNXM126_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites
2,Metabolite,MNXM20_m,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites
3,Metabolite,MNXM258_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites
4,Metabolite,MNXM89629_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites
5,Metabolite,MNXM2378_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites
6,Metabolite,MNXM160_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites
7,Metabolite,MNXM46_m,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites
8,Metabolite,MNXM73_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites
9,Metabolite,MNXM23_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites
10,Metabolite,MNXM15900_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Production of key precusor metabolites
11,Metabolite,MNXM3_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,De novo synthesis of nucleotides
12,Metabolite,MNXM63_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,De novo synthesis of nucleotides
13,Metabolite,MNXM51_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,De novo synthesis of nucleotides
14,Metabolite,MNXM121_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,De novo synthesis of nucleotides
15,Metabolite,MNXM286_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,De novo synthesis of nucleotides
16,Metabolite,MNXM360_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,De novo synthesis of nucleotides
17,Metabolite,MNXM344_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,De novo synthesis of nucleotides
18,Metabolite,MNXM394_c,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,De novo synthesis of nucleotides
19,Reaction,PGI,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Glycolysis
20,Reaction,PFK,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Glycolysis
21,Reaction,FBA,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Glycolysis
22,Reaction,GAPD,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Glycolysis
23,Reaction,PGK,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Glycolysis
24,Reaction,PGM,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Glycolysis
25,Reaction,ENO,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Glycolysis
26,Reaction,PYK,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Glycolysis
27,Reaction,PYRt2m,MNXM41_e(-1.0);MNXM128_e(-1000.0);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM95_e(-1000.0);MNXM27_e(-1000.0);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM9_e(-1000.0),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Glycolysis
28,Reaction,biomass_reaction,MNXM32_e(-0.05);MNXM70_e(-0.05);MNXM147_e(-0.05);MNXM42_e(-0.05);MNXM304_e(-0.005);MNXM128_e(-1000.0);MNXM90_e(-0.005);MNXM43_e(-1000.0);MNXM13_e(-1000.0);MNXM55_e(-0.05);MNXM111_e(-1000.0);MNXM196_e(-1000.0);MNXM617_e(-0.005);MNXM41_e(-5.0);MNXM37_e(-0.5);MNXM89557_e(-0.05);MNXM29_e(-0.05);MNXM145523_e(-0.05);MNXM1_e(-1000.0);MNXM2_e(-1000.0);MNXM134_e(-0.05);MNXM231_e(-0.05);MNXM127_e(-0.005);MNXM95_e(-1000.0);MNXM140_e(-0.05);MNXM78_e(-0.05);MNXM61_e(-0.05);MNXM27_e(-1000.0);MNXM216_e(-0.005);MNXM84_e(-1000.0);MNXM4_e(-1000.0);MNXM97_e(-0.05);MNXM9_e(-1000.0);MNXM364_e(-0.005);MNXM114_e(-0.05);MNXM311_e(-0.005);MNXM270_e(-0.005);MNXM53_e(-0.05);MNXM322_e(-0.005);MNXM142_e(-0.05);MNXM94_e(-0.05);MNXM76_e(-0.05);MNXM199_e(-0.05),EX_o2_LPAREN_e_RPAREN_(-1000.0#1000.0),>0.0,Growth